Function_name, Return_value, Error, Cycles
mexp, 6, 5.66942e-15, 6.12991e+07
mexp, 5, 9.2667e-16, 5.50525e+07
mexp, 4, 1.01009e-15, 6.08592e+07
mexp, 3, 2.46509e-15, 4.51662e+07
mexp, 2, 3.43093e-15, 4.08941e+07
mexp, 1, 3.10853e-15, 3.64084e+07
