Function_name, Return_value, Error, Cycles
mexp, 6, 7.01001e-15, 71782.7
mexp, 5, 8.9267e-16, 75006.3
mexp, 4, 2.94378e-16, 68915.5
mexp, 3, 8.34649e-17, 45775.4
mexp, 2, 1.06972e-16, 34206.9
mexp, 1, 2.22038e-16, 27613.3
