Function_name, Return_value, Error, Cycles
mexp, 6, 1.66606e-15, 1.09211e+06
mexp, 5, 4.83432e-15, 1.30553e+06
mexp, 4, 5.24933e-16, 1.24204e+06
mexp, 3, 1.01124e-15, 782330
mexp, 2, 1.07724e-15, 636498
mexp, 1, 1.33223e-15, 507354
