Function_name, Return_value, Error, Cycles
mexp, 6, 9.88795e-15, 4.51013e+08
mexp, 5, 8.63806e-16, 4.0356e+08
mexp, 4, 1.49812e-15, 4.02714e+08
mexp, 3, 3.51882e-15, 4.73723e+08
mexp, 2, 4.83588e-15, 4.49934e+08
mexp, 1, 3.99667e-15, 3.96173e+08
