Function_name, Return_value, Error, Cycles
mexp, 6, 3.29043e-15, 637549
mexp, 5, 5.31452e-15, 689009
mexp, 4, 4.53441e-16, 499677
mexp, 3, 7.42191e-16, 349199
mexp, 2, 4.38329e-16, 366140
mexp, 1, 6.66119e-16, 282463
