Function_name, Return_value, Error, Cycles
mexp, 6, 1.09497e-14, 2.91082e+08
mexp, 5, 1.10934e-15, 2.76669e+08
mexp, 4, 1.06323e-15, 2.19732e+08
mexp, 3, 2.37809e-15, 1.80816e+08
mexp, 2, 1.52285e-15, 1.58844e+08
mexp, 1, 1.88733e-15, 1.37312e+08
