Function_name, Return_value, Error, Cycles
mexp, 6, 1.85682e-14, 8.15776e+08
mexp, 5, 1.17079e-15, 7.76624e+08
mexp, 4, 1.74436e-15, 7.38428e+08
mexp, 3, 4.33683e-15, 7.05439e+08
mexp, 2, 3.0443e-15, 6.82364e+08
mexp, 1, 3.55263e-15, 6.61688e+08
