Function_name, Return_value, Error, Cycles
mexp, 6, 1.06744e-15, 72057
mexp, 5, 1.51677e-15, 76114.3
mexp, 4, 3.63056e-16, 80835.6
mexp, 3, 5.76087e-16, 49986
mexp, 2, 3.23449e-16, 37810
mexp, 1, 4.44074e-16, 33309.3
