Function_name, Return_value, Error, Cycles
mexp, 6, 1.48794e-15, 45708.6
mexp, 5, 1.29649e-15, 50907.4
mexp, 4, 2.50441e-16, 39562.9
mexp, 3, 3.81608e-16, 30704.7
mexp, 2, 6.38879e-16, 26794
mexp, 1, 4.44076e-16, 23399.1
