Function_name, Return_value, Error, Cycles
mexp, 6, 1.70966e-15, 1.10579e+06
mexp, 5, 4.79985e-15, 1.1296e+06
mexp, 4, 5.51477e-16, 923240
mexp, 3, 1.01261e-15, 807196
mexp, 2, 1.07703e-15, 740191
mexp, 1, 1.33223e-15, 652678
