Function_name, Return_value, Cycles
mexp_no_blas, 6, 5.72219e+06
mexp_no_blas, 5, 7.96213e+06
mexp_no_blas, 4, 5.67978e+06
mexp_no_blas, 3, 4.05617e+06
mexp_no_blas, 2, 3.5411e+06
mexp_no_blas, 1, 3.15889e+06
