Function_name, Return_value, Error, Cycles
mexp, 6, 1.48268e-15, 90004.2
mexp, 5, 2.87925e-15, 92297.2
mexp, 4, 2.8021e-16, 122678
mexp, 3, 2.67837e-16, 78645.6
mexp, 2, 6.45224e-16, 41755.5
mexp, 1, 4.44075e-16, 33580.1
