Function_name, Return_value, Error, Cycles
mexp, 6, 1.62431e-15, 264489
mexp, 5, 2.88098e-15, 381141
mexp, 4, 4.13098e-16, 320305
mexp, 3, 7.17795e-16, 214401
mexp, 2, 1.07096e-15, 163706
mexp, 1, 8.88151e-16, 111800
