Function_name, Return_value, Cycles
mexp_no_blas, 6, 159135
mexp_no_blas, 5, 164153
mexp_no_blas, 4, 164592
mexp_no_blas, 3, 78156.5
mexp_no_blas, 2, 46718.1
mexp_no_blas, 1, 25936.6
