Function_name, Return_value, Cycles
mexp_no_blas, 6, 360952
mexp_no_blas, 5, 368428
mexp_no_blas, 4, 360164
mexp_no_blas, 3, 191030
mexp_no_blas, 2, 131463
mexp_no_blas, 1, 90911
