Function_name, Return_value, Cycles
mexp_no_blas, 6, 23588.1
mexp_no_blas, 5, 24655.5
mexp_no_blas, 4, 22937.8
mexp_no_blas, 3, 15488.7
mexp_no_blas, 2, 10637.2
mexp_no_blas, 1, 9512.37
