Function_name, Return_value, Error, Cycles
mexp, 6, 1.48075e-15, 247002
mexp, 5, 2.48438e-15, 345362
mexp, 4, 4.48863e-16, 289100
mexp, 3, 7.19837e-16, 192728
mexp, 2, 1.07148e-15, 149367
mexp, 1, 8.88151e-16, 104324
