Function_name, Return_value, Error, Cycles
mexp, 6, 1.66791e-15, 2.02167e+06
mexp, 5, 4.76483e-15, 2.0463e+06
mexp, 4, 5.37532e-16, 1.78597e+06
mexp, 3, 1.01261e-15, 1.35452e+06
mexp, 2, 1.07703e-15, 1.16498e+06
mexp, 1, 1.33223e-15, 1.07742e+06
