Function_name, Return_value, Error, Cycles
mexp, 6, 2.25631e-15, 1.21527e+07
mexp, 5, 1.07673e-15, 1.23382e+07
mexp, 4, 7.29469e-16, 1.1255e+07
mexp, 3, 1.25859e-15, 9.48235e+06
mexp, 2, 2.35395e-15, 7.95713e+06
mexp, 1, 1.7763e-15, 7.48384e+06
